zip_code,count
57717,1
59001,33
59002,6
59003,11
59004,1
59006,15
59007,2
59008,4
59010,2
59011,90
59014,24
59015,11
59016,4
59018,10
59019,67
59020,9
59022,5
59024,8
59025,2
59026,2
59027,13
59028,4
59029,5
59030,47
59032,19
59033,1
59034,100
59035,17
59036,24
59037,29
59038,11
59041,30
59043,12
59044,152
59046,6
59047,351
59050,13
59052,3
59053,5
59054,7
59055,2
59057,11
59059,1
59061,4
59062,1
59063,19
59064,7
59065,12
59067,2
59068,146
59069,3
59070,24
59071,1
59072,57
59074,6
59075,4
59076,1
59077,2
59078,4
59079,39
59081,5
59084,1
59085,7
59086,16
59087,8
59088,21
59089,1
59101,1008
59102,1054
59103,13
59104,16
59105,318
59106,349
59107,16
59108,16
59201,56
59211,8
59212,13
59213,10
59214,6
59215,42
59217,3
59218,30
59219,7
59221,36
59222,8
59223,4
59225,6
59226,7
59230,111
59241,6
59242,4
59243,22
59244,1
59247,15
59248,6
59250,6
59252,5
59253,2
59254,93
59255,24
59256,8
59257,5
59258,8
59259,14
59260,2
59261,13
59262,28
59263,61
59270,280
59274,6
59275,15
59301,240
59311,4
59312,1
59313,66
59314,1
59315,3
59316,3
59317,35
59318,3
59319,1
59322,3
59323,18
59324,15
59326,3
59327,50
59330,167
59332,3
59333,2
59336,4
59337,17
59338,2
59339,13
59343,2
59344,5
59345,3
59347,2
59349,9
59351,10
59353,25
59354,1
59401,272
59403,27
59404,310
59405,452
59406,4
59410,20
59411,6
59412,22
59414,40
59416,20
59417,40
59418,5
59419,3
59420,6
59421,27
59422,119
59424,4
59425,96
59427,113
59430,21
59432,1
59433,15
59434,13
59436,66
59440,5
59442,48
59443,9
59444,9
59446,18
59447,8
59450,12
59451,11
59452,18
59453,10
59454,7
59456,8
59457,219
59460,5
59462,3
59463,1
59464,16
59465,2
59466,4
59467,2
59468,12
59469,2
59471,7
59472,6
59474,64
59477,7
59479,28
59480,3
59482,13
59483,6
59484,11
59485,2
59486,30
59487,15
59489,23
59501,229
59520,29
59521,13
59522,46
59523,57
59524,2
59525,5
59526,15
59527,2
59528,5
59529,2
59530,5
59531,5
59532,7
59535,2
59537,1
59538,86
59540,7
59542,7
59544,7
59545,2
59546,5
59547,1
59601,847
59602,349
59604,20
59624,12
59625,2
59631,6
59632,26
59633,1
59634,90
59635,67
59638,5
59639,18
59640,4
59642,3
59643,8
59644,68
59645,38
59647,3
59648,20
59701,566
59702,2
59703,2
59710,11
59711,111
59713,4
59714,544
59715,1352
59716,151
59717,7
59718,1237
59719,18
59720,7
59721,6
59722,96
59724,6
59725,193
59727,4
59728,2
59729,113
59730,95
59731,3
59732,5
59733,6
59735,6
59736,8
59739,7
59740,3
59741,134
59743,3
59745,5
59746,1
59747,1
59748,2
59749,39
59750,3
59751,2
59752,77
59754,30
59755,14
59758,130
59759,45
59760,4
59761,9
59762,6
59771,41
59772,6
59801,921
59802,637
59803,246
59804,186
59806,23
59807,10
59808,562
59812,4
59820,19
59821,21
59823,32
59824,32
59825,25
59826,11
59827,4
59828,106
59829,31
59830,3
59831,3
59832,17
59833,87
59834,31
59837,7
59840,350
59841,6
59842,3
59843,9
59844,6
59845,19
59846,16
59847,93
59848,1
59851,1
59853,7
59854,3
59855,9
59856,3
59858,36
59859,53
59860,250
59864,129
59865,45
59866,18
59868,54
59870,170
59871,4
59872,27
59873,65
59874,20
59875,83
59901,1176
59903,21
59904,18
59910,7
59911,200
59912,276
59913,15
59914,3
59916,5
59917,104
59918,5
59919,11
59920,16
59921,1
59922,47
59923,138
59925,13
59926,4
59927,7
59928,3
59929,3
59930,11
59931,7
59932,26
59934,3
59935,27
59936,17
59937,499
